"element","taxon","content","chapter","page","key","taxa","crit","clause","logic"
"^acrudoxic","Acrudoxic Plinthic Kandiudults","&nbsp;<b>1.</b> An ECEC of 1.5 cmol(+)/kg clay or less (sum of bases extracted with 1N NH4 OAc pH 7, plus 1N KCl-extractable Al) in one or more horizons within 150 cm of the mineral soil surface<i>; and</i>",15,294,"Subgroups","Kandiudults","HCCH",27,"AND"
"^acrudoxic","Acrudoxic Plinthic Kandiudults","&nbsp;<b>2.</b> 5 percent or more (by volume) plinthite in one or more horizons within 150 cm of the mineral soil surface.",15,294,"Subgroups","Kandiudults","HCCH",28,"END"
"^acrudoxic","Acrudoxic Kandiudults","<b><u>HCCI.</u></b> Other Kandiudults that have an ECEC of 1.5 cmol(+)/kg clay or less (sum of bases extracted with 1N NH4 OAc pH 7, plus 1N KCl-extractable Al) in one or more horizons within 150 cm of the mineral soil surface.",15,294,"Subgroups","Kandiudults","HCCI",26,"END"
"^acrudoxic","Acrudoxic Kanhapludults","<b><u>HCDE.</u></b> Other Kanhapludults that have an ECEC of 1.5 cmol(+)/kg clay or less (sum of bases extracted with 1N NH4 OAc pH 7, plus 1N KCl-extractable Al) in one or more horizons within 150 cm of the mineral soil surface.",15,295,"Subgroups","Kanhapludults","HCDE",21,"END"
"^acrustoxic","Acrustoxic Kandiustults","<b><u>HDBA.</u></b> Kandiustults that have an ECEC of 1.5 cmol(+)/kg clay or less (sum of bases extracted with 1N NH4 OAc pH 7, plus 1N KCl-extractable Al) in one or more horizons within 150 cm of the mineral soil surface.",15,299,"Subgroups","Kandiustults","HDBA",26,"END"
"^acrustoxic","Acrustoxic Kanhaplustults","<b><u>HDCB.</u></b> Other Kanhaplustults that have an ECEC of 1.5 cmol(+)/kg clay or less (sum of bases extracted with 1N NH4 OAc pH 7, plus 1N KCl-extractable Al) in one or more horizons within 150 cm of the mineral soil surface.",15,300,"Subgroups","Kanhaplustults","HDCB",21,"END"
"^albaquultic","Albaquultic Hapludalfs","<b><u>JEJN.</u></b> Other Hapludalfs that have all of the following:",5,61,"Subgroups","Hapludalfs","JEJN",9,"AND"
"^albaquultic","Albaquultic Hapludalfs","&nbsp;<b>1.</b> An abrupt textural change<i>; and</i>",5,61,"Subgroups","Hapludalfs","JEJN",10,"AND"
"^albaquultic","Albaquultic Hapludalfs","&nbsp;<b>2.</b> Redox depletions with chroma of 2 or less in layers that also have aquic conditions in normal years (or artificial drainage) either:",5,61,"Subgroups","Hapludalfs","JEJN",11,"OR"
"^albaquultic","Albaquultic Hapludalfs","&nbsp;&nbsp;<b>a.</b> Within the upper 25 cm of the argillic horizon if its upper boundary is within 50 cm of the mineral soil surface<i>; or</i>",5,62,"Subgroups","Hapludalfs","JEJN",12,"OR"
"^albaquultic","Albaquultic Hapludalfs","&nbsp;&nbsp;<b>b.</b> Within 75 cm of the mineral soil surface if the upper boundary of the argillic horizon is 50 cm or more below the mineral soil surface<i>; and</i>",5,62,"Subgroups","Hapludalfs","JEJN",13,"AND"
"^albaquultic","Albaquultic Hapludalfs","&nbsp;<b>3.</b> A base saturation (by sum of cations) of less than 60 percent at a depth of 125 cm from the top of the argillic horizon, at a depth of 180 cm from the mineral soil surface, or directly above a densic, lithic, or paralithic contact, whichever is shallowest.",5,62,"Subgroups","Hapludalfs","JEJN",14,"END"
"^andic","Andic Glossocryalfs","<b><u>JBBC.</u></b> Other Glossocryalfs that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",5,52,"Subgroups","Glossocryalfs","JBBC",9,"END"
"^andic","Andic Haplocryalfs","<b><u>JBCC.</u></b> Other Haplocryalfs that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",5,53,"Subgroups","Haplocryalfs","JBCC",9,"END"
"^andic","Andic Palecryalfs","<b><u>JBAA.</u></b> Palecryalfs that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",5,55,"Subgroups","Palecryalfs","JBAA",14,"END"
"^andic","Andic Fragiudalfs","<b><u>JEDA.</u></b> Fragiudalfs that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",5,57,"Subgroups","Fragiudalfs","JEDA",9,"END"
"^andic","Andic Fraglossudalfs","<b><u>JECA.</u></b> Fraglossudalfs that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",5,57,"Subgroups","Fraglossudalfs","JECA",11,"END"
"^andic","Andic Glossudalfs","<b><u>JEIE.</u></b> Other Glossudalfs that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",5,58,"Subgroups","Glossudalfs","JEIE",9,"END"
"^andic","Andic Hapludalfs","<b><u>JEJG.</u></b> Other Hapludalfs that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",5,61,"Subgroups","Hapludalfs","JEJG",9,"END"
"^andic","Andic Paleudalfs","<b><u>JEGB.</u></b> Other Paleudalfs that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",5,65,"Subgroups","Paleudalfs","JEGB",23,"END"
"^andic","Andic Fragixeralfs","<b><u>JDCA.</u></b> Fragixeralfs that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",5,80,"Subgroups","Fragixeralfs","JDCA",9,"END"
"^andic","Andic Haploxeralfs","<b><u>JDGF.</u></b> Other Haploxeralfs that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",5,81,"Subgroups","Haploxeralfs","JDGF",9,"END"
"^andic","Andic Palexeralfs","<b><u>JDFC.</u></b> Other Palexeralfs that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",5,83,"Subgroups","Palexeralfs","JDFC",18,"END"
"^andic","Andic Cryofluvents","<b><u>LDBA.</u></b> Cryofluvents that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and percent aluminum plus 1 /2 the iron percentage (by ammonium oxalate) totaling more than 1.0.",8,139,"Subgroups","Cryofluvents","LDBA",17,"END"
"^andic","Andic Udifluvents","<b><u>LDFC.</u></b> Other Udifluvents that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",8,142,"Subgroups","Udifluvents","LDFC",17,"END"
"^andic","Andic Xerofluvents","<b><u>LDCC.</u></b> Other Xerofluvents that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",8,144,"Subgroups","Xerofluvents","LDCC",17,"END"
"^andic","Andic Aquorthels","<b><u>ACBE.</u></b> Other Aquorthels that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",9,159,"Subgroups","Aquorthels","ACBE",9,"END"
"^andic","Andic Mollorthels","<b><u>ACDD.</u></b> Other Mollorthels that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",9,161,"Subgroups","Mollorthels","ACDD",9,"END"
"^andic","Andic Umbrorthels","<b><u>ACED.</u></b> Other Umbrorthels that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",9,162,"Subgroups","Umbrorthels","ACED",9,"END"
"^andic","Andic Molliturbels","<b><u>ABDD.</u></b> Other Molliturbels that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",9,164,"Subgroups","Molliturbels","ABDD",9,"END"
"^andic","Andic Umbriturbels","<b><u>ABED.</u></b> Other Umbriturbels that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",9,166,"Subgroups","Umbriturbels","ABED",9,"END"
"^andic","Andic Dystrocryepts","<b><u>KCCE.</u></b> Other Dystrocryepts that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus ½ Fe (by ammonium oxalate) of 1.0 percent or more.",11,181,"Subgroups","Dystrocryepts","KCCE",23,"END"
"^andic","Andic Haplocryepts","<b><u>KCDG.</u></b> Other Haplocryepts that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus ½ Fe (by ammonium oxalate) of 1.0 percent or more.",11,183,"Subgroups","Haplocryepts","KCDG",19,"END"
"^andic","Andic Humicryepts","<b><u>KCAE.</u></b> Other Humicryepts that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus ½ Fe (by ammonium oxalate) of 1.0 percent or more.",11,184,"Subgroups","Humicryepts","KCAE",19,"END"
"^andic","Andic Dystrogelepts","<b><u>KBBB.</u></b> Other Dystrogelepts that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",11,185,"Subgroups","Dystrogelepts","KBBB",21,"END"
"^andic","Andic Haplogelepts","<b><u>KBCB.</u></b> Other Haplogelepts that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",11,186,"Subgroups","Haplogelepts","KBCB",19,"END"
"^andic","Andic Humigelepts","<b><u>KBAB.</u></b> Other Humigelepts that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus ½ Fe (by ammonium oxalate) of 1.0 percent or more.",11,186,"Subgroups","Humigelepts","KBAB",19,"END"
"^andic","Andic Durudepts","<b><u>KFBB.</u></b> Other Durudepts that have, throughout one or more horizons with a total thickness of 18 cm or more, above the duripan and within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",11,188,"Subgroups","Durudepts","KFBB",19,"END"
"^andic","Andic Oxyaquic Dystrudepts","<b><u>KFFE.</u></b> Other Dystrudepts that have both:",11,188,"Subgroups","Dystrudepts","KFFE",19,"AND"
"^andic","Andic Oxyaquic Dystrudepts","&nbsp;<b>1.</b> In one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0<i>; and</i>",11,188,"Subgroups","Dystrudepts","KFFE",20,"AND"
"^andic","Andic Oxyaquic Dystrudepts","&nbsp;<b>2.</b> Saturation with water within 100 cm of the mineral soil surface in normal years for either or both:",11,188,"Subgroups","Dystrudepts","KFFE",21,"AND"
"^andic","Andic Oxyaquic Dystrudepts","&nbsp;&nbsp;<b>a.</b> 20 or more consecutive days<i>; or</i>",11,188,"Subgroups","Dystrudepts","KFFE",22,"OR"
"^andic","Andic Oxyaquic Dystrudepts","&nbsp;&nbsp;<b>b.</b> 30 or more cumulative days.",11,188,"Subgroups","Dystrudepts","KFFE",23,"END"
"^andic","Andic Dystrudepts","<b><u>KFFF.</u></b> Other Dystrudepts that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",11,188,"Subgroups","Dystrudepts","KFFF",19,"END"
"^andic","Andic Eutrudepts","<b><u>KFEE.</u></b> Other Eutrudepts that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",11,191,"Subgroups","Eutrudepts","KFEE",21,"END"
"^andic","Andic Fragiudepts","<b><u>KFCA.</u></b> Fragiudepts that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",11,193,"Subgroups","Fragiudepts","KFCA",19,"END"
"^andic","Andic Oxyaquic Humudepts","<b><u>KFDD.</u></b> Other Humudepts that have both:",11,193,"Subgroups","Humudepts","KFDD",19,"AND"
"^andic","Andic Oxyaquic Humudepts","&nbsp;<b>1.</b> In one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0<i>; and</i>",11,193,"Subgroups","Humudepts","KFDD",20,"AND"
"^andic","Andic Oxyaquic Humudepts","&nbsp;<b>2.</b> Saturation with water within 100 cm of the mineral soil surface in normal years for either or both:",11,194,"Subgroups","Humudepts","KFDD",21,"AND"
"^andic","Andic Oxyaquic Humudepts","&nbsp;&nbsp;<b>a.</b> 20 or more consecutive days<i>; or</i>",11,194,"Subgroups","Humudepts","KFDD",22,"OR"
"^andic","Andic Oxyaquic Humudepts","&nbsp;&nbsp;<b>b.</b> 30 or more cumulative days.",11,194,"Subgroups","Humudepts","KFDD",23,"END"
"^andic","Andic Humudepts","<b><u>KFDE.</u></b> Other Humudepts that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",11,194,"Subgroups","Humudepts","KFDE",19,"END"
"^andic","Andic Dystrustepts","<b><u>KDDD.</u></b> Other Dystrustepts that have, throughout one or more horizons with a total thickness of 18 cm or more within 75 cm of the mineral soil surface, a fine-earth fraction with both a bulk density of 1.0 g/cm3 or less, measured at 33 kPa water retention, and Al plus 1 /2 Fe percentages (by ammonium oxalate) totaling more than 1.0.",11,197,"Subgroups","Dystrustepts","KDDD",21,"END"
